iter	Passed	Remaining
0	27	27535
1	54	27299
2	81	27138
3	108	26894
4	134	26759
5	161	26688
6	186	26503
7	215	26750
8	243	26776
9	270	26790
10	291	26224
11	312	25710
12	332	25262
13	352	24831
14	372	24467
15	392	24139
16	412	23870
17	433	23626
18	453	23414
19	474	23234
20	495	23104
21	517	23006
22	539	22910
23	560	22777
24	580	22642
25	601	22543
26	624	22487
27	644	22381
28	664	22250
29	685	22158
30	704	22025
31	725	21951
32	743	21793
33	765	21758
34	786	21692
35	806	21596
36	826	21519
37	847	21454
38	867	21385
39	889	21345
40	908	21244
41	929	21202
42	949	21136
43	970	21093
44	991	21044
45	1012	21006
46	1032	20938
47	1052	20875
48	1073	20830
49	1094	20789
50	1116	20766
51	1137	20737
52	1157	20676
53	1177	20621
54	1196	20561
55	1216	20501
56	1235	20434
57	1255	20383
58	1274	20331
59	1295	20292
60	1315	20255
61	1337	20237
62	1357	20192
63	1379	20172
64	1399	20132
65	1420	20109
66	1440	20063
67	1459	20000
68	1482	20007
69	1503	19979
70	1528	19999
71	1548	19957
72	1567	19909
73	1589	19891
74	1610	19863
75	1629	19816
76	1659	19887
77	1679	19853
78	1700	19827
79	1720	19790
80	1740	19748
81	1763	19742
82	1784	19713
83	1805	19687
84	1830	19702
85	1856	19726
86	1876	19689
87	1896	19659
88	1919	19651
89	1942	19640
90	1963	19609
91	1989	19640
92	2011	19615
93	2037	19636
94	2060	19624
95	2084	19630
96	2105	19596
97	2131	19619
98	2153	19602
99	2179	19618
100	2198	19569
101	2219	19539
102	2242	19527
103	2262	19491
104	2282	19454
105	2303	19431
106	2328	19433
107	2348	19397
108	2371	19381
109	2395	19382
110	2417	19365
111	2440	19351
112	2461	19319
113	2483	19298
114	2504	19270
115	2524	19240
116	2544	19203
117	2565	19172
118	2586	19145
119	2610	19143
120	2631	19113
121	2652	19086
122	2673	19064
123	2694	19035
124	2715	19011
125	2735	18972
126	2756	18948
127	2777	18923
128	2798	18897
129	2819	18867
130	2841	18848
131	2861	18813
132	2880	18778
133	2906	18785
134	2928	18766
135	2948	18734
136	2971	18721
137	2998	18727
138	3023	18730
139	3044	18704
140	3069	18699
141	3089	18664
142	3110	18640
143	3132	18619
144	3151	18581
145	3171	18551
146	3195	18544
147	3219	18534
148	3239	18503
149	3261	18483
150	3282	18455
151	3308	18460
152	3330	18438
153	3353	18421
154	3374	18394
155	3394	18367
156	3422	18374
157	3442	18343
158	3466	18333
159	3490	18326
160	3515	18317
161	3537	18298
162	3560	18284
163	3587	18285
164	3611	18274
165	3632	18247
166	3651	18213
167	3676	18209
168	3700	18194
169	3722	18172
170	3748	18173
171	3769	18146
172	3797	18154
173	3817	18124
174	3838	18097
175	3862	18083
176	3884	18059
177	3905	18033
178	3924	18001
179	3950	17998
180	3971	17969
181	3992	17942
182	4012	17915
183	4032	17882
184	4051	17850
185	4073	17827
186	4100	17827
187	4128	17832
188	4149	17805
189	4176	17805
190	4198	17782
191	4222	17767
192	4246	17754
193	4267	17728
194	4290	17710
195	4310	17682
196	4338	17685
197	4362	17671
198	4387	17661
199	4408	17634
200	4428	17604
201	4452	17590
202	4472	17559
203	4495	17540
204	4516	17515
205	4537	17488
206	4561	17472
207	4583	17453
208	4607	17436
209	4633	17431
210	4653	17402
211	4677	17386
212	4703	17379
213	4730	17375
214	4751	17349
215	4771	17318
216	4791	17290
217	4812	17264
218	4833	17237
219	4857	17221
220	4881	17207
221	4903	17183
222	4927	17169
223	4948	17142
224	4970	17119
225	4995	17107
226	5022	17103
227	5044	17079
228	5071	17075
229	5092	17049
230	5121	17048
231	5145	17034
232	5172	17026
233	5194	17003
234	5215	16978
235	5239	16962
236	5259	16933
237	5282	16912
238	5304	16890
239	5327	16869
240	5350	16850
241	5372	16826
242	5400	16823
243	5424	16806
244	5450	16796
245	5477	16788
246	5498	16762
247	5518	16733
248	5539	16707
249	5564	16693
250	5586	16669
251	5613	16662
252	5634	16636
253	5654	16607
254	5674	16578
255	5699	16565
256	5721	16541
257	5744	16520
258	5765	16494
259	5792	16486
260	5816	16468
261	5838	16445
262	5865	16437
263	5887	16413
264	5909	16389
265	5936	16380
266	5957	16356
267	5989	16359
268	6010	16334
269	6036	16320
270	6059	16299
271	6080	16275
272	6104	16255
273	6131	16245
274	6152	16220
275	6176	16201
276	6198	16178
277	6223	16162
278	6243	16135
279	6274	16133
280	6302	16125
281	6324	16101
282	6346	16078
283	6368	16056
284	6394	16041
285	6416	16018
286	6437	15992
287	6461	15973
288	6487	15961
289	6511	15941
290	6536	15926
291	6559	15903
292	6585	15890
293	6611	15877
294	6638	15865
295	6662	15846
296	6684	15821
297	6705	15796
298	6727	15771
299	6752	15756
300	6774	15732
301	6797	15710
302	6821	15692
303	6842	15665
304	6865	15645
305	6889	15624
306	6917	15614
307	6940	15592
308	6962	15570
309	6988	15554
310	7011	15534
311	7034	15511
312	7063	15503
313	7088	15487
314	7109	15461
315	7138	15452
316	7164	15436
317	7191	15424
318	7213	15398
319	7236	15377
320	7257	15351
321	7283	15335
322	7307	15315
323	7331	15297
324	7361	15289
325	7388	15275
326	7415	15261
327	7435	15233
328	7455	15205
329	7480	15187
330	7502	15163
331	7528	15148
332	7554	15131
333	7578	15111
334	7599	15086
335	7620	15059
336	7642	15035
337	7668	15020
338	7688	14991
339	7714	14975
340	7737	14952
341	7758	14926
342	7780	14902
343	7804	14882
344	7832	14869
345	7855	14847
346	7878	14826
347	7905	14810
348	7929	14790
349	7954	14772
350	7980	14755
351	8001	14729
352	8027	14713
353	8055	14700
354	8082	14685
355	8104	14661
356	8129	14642
357	8153	14621
358	8175	14596
359	8199	14576
360	8224	14557
361	8254	14548
362	8283	14535
363	8308	14516
364	8333	14497
365	8353	14470
366	8378	14450
367	8399	14424
368	8422	14402
369	8446	14382
370	8469	14358
371	8498	14346
372	8524	14328
