iter	Passed	Remaining
0	182	182064
1	326	163142
2	467	155401
3	603	150316
4	743	147970
5	880	145889
6	1079	153194
7	1218	151052
8	1362	150009
9	1500	148579
10	1641	147576
11	1781	146636
12	1920	145784
13	2111	148681
14	2251	147820
15	2391	147083
16	2574	148849
17	2776	151500
18	2957	152685
19	3134	153610
20	3322	154873
21	3458	153736
22	3598	152868
23	3790	154164
24	3930	153295
25	4095	153427
26	4237	152696
27	4380	152067
28	4517	151268
29	4661	150723
30	4806	150248
31	4947	149653
32	5129	150299
33	5266	149617
34	5458	150496
35	5648	151265
36	5805	151101
37	5980	151410
38	6130	151054
39	6292	151017
40	6446	150792
41	6629	151212
42	6824	151889
43	7000	152101
44	7163	152022
45	7344	152308
46	7499	152066
47	7669	152109
48	7808	151552
49	7961	151267
50	8145	151576
51	8333	151919
52	8524	152319
53	8691	152262
54	8840	151891
55	8981	151395
56	9171	151727
57	9358	151998
58	9506	151621
59	9680	151654
60	9881	152110
61	10020	151595
62	10207	151809
63	10381	151828
64	10521	151345
65	10665	150934
66	10807	150500
67	10991	150647
68	11159	150575
69	11339	150657
70	11493	150389
71	11672	150441
72	11856	150563
73	12031	150559
74	12173	150134
75	12366	150349
76	12520	150083
77	12685	149945
78	12864	149976
79	13036	149915
80	13192	149682
81	13332	149256
82	13469	148817
83	13672	149098
84	13831	148893
85	13997	148764
86	14168	148691
87	14329	148506
88	14483	148255
89	14631	147939
90	14838	148226
91	15020	148250
92	15220	148443
93	15403	148465
94	15585	148470
95	15751	148322
96	15902	148043
97	16069	147902
98	16206	147497
99	16379	147417
100	16525	147095
101	16665	146720
102	16843	146688
103	17021	146645
104	17167	146331
105	17336	146213
106	17511	146151
107	17700	146194
108	17858	145978
109	17995	145603
110	18174	145562
111	18336	145381
112	18476	145036
113	18685	145225
114	18857	145118
115	18999	144785
116	19146	144498
117	19341	144568
118	19512	144459
119	19695	144436
120	19856	144245
121	20035	144187
122	20212	144118
123	20354	143795
124	20506	143548
125	20658	143294
126	20825	143151
127	20968	142847
128	21162	142889
129	21305	142580
130	21482	142507
131	21650	142365
132	21789	142038
133	21968	141972
134	22109	141664
135	22290	141608
136	22482	141624
137	22644	141446
138	22794	141191
139	22974	141126
140	23192	141295
141	23348	141074
142	23509	140892
143	23675	140738
144	23846	140612
145	23995	140359
146	24143	140100
147	24304	139913
148	24506	139969
149	24672	139810
150	24842	139674
151	25014	139555
152	25191	139456
153	25328	139143
154	25486	138943
155	25650	138777
156	25858	138847
157	26014	138636
158	26181	138481
159	26353	138353
160	26549	138352
161	26731	138275
162	26917	138222
163	27062	137950
164	27242	137866
165	27386	137594
166	27576	137552
167	27717	137265
168	27886	137121
169	28070	137050
170	28239	136904
171	28426	136844
172	28620	136815
173	28775	136600
174	28956	136507
175	29093	136208
176	29256	136034
177	29412	135824
178	29579	135669
179	29748	135521
180	29890	135248
181	30079	135190
182	30217	134907
183	30378	134723
184	30514	134428
185	30669	134219
186	30811	133955
187	30981	133812
188	31161	133715
189	31331	133573
190	31496	133405
191	31634	133128
192	31847	133166
193	31990	132908
194	32181	132851
195	32367	132771
196	32541	132645
197	32708	132484
198	32871	132312
199	33011	132046
200	33173	131868
201	33361	131793
202	33563	131774
203	33708	131527
204	33856	131296
205	34034	131182
206	34203	131031
207	34385	130929
208	34553	130773
209	34728	130643
210	34909	130537
211	35058	130313
212	35241	130209
213	35420	130097
214	35592	129955
215	35734	129704
216	35930	129646
217	36107	129523
218	36272	129355
219	36459	129266
220	36602	129018
221	36801	128972
222	36985	128867
223	37136	128652
224	37340	128617
225	37508	128457
226	37683	128323
227	37822	128067
228	38008	127967
229	38190	127854
230	38357	127692
231	38495	127434
232	38674	127312
233	38838	127136
234	38982	126900
235	39152	126746
236	39325	126606
237	39464	126353
238	39638	126214
239	39809	126062
240	39998	125969
241	40167	125813
242	40325	125622
243	40463	125371
244	40645	125253
245	40834	125158
246	41013	125032
247	41190	124900
248	41342	124691
249	41538	124614
250	41736	124544
251	41893	124350
252	42055	124171
253	42233	124038
254	42383	123827
255	42545	123647
256	42720	123507
257	42888	123346
258	43033	123118
259	43191	122930
260	43372	122805
261	43578	122751
262	43722	122521
263	43914	122427
264	44096	122306
265	44259	122129
266	44401	121895
267	44568	121733
268	44762	121639
269	44961	121563
270	45113	121356
271	45255	121125
272	45395	120889
273	45544	120675
274	45694	120467
275	45865	120312
276	46019	120116
277	46208	120008
278	46428	119982
279	46636	119923
280	46774	119682
281	46918	119458
282	47091	119309
283	47276	119191
284	47418	118963
285	47588	118805
286	47770	118676
287	47946	118533
288	48115	118375
289	48273	118186
290	48431	118000
291	48624	117898
292	48783	117711
293	48999	117664
294	49212	117610
295	49395	117481
296	49533	117245
297	49697	117072
298	49882	116949
299	50024	116723
300	50189	116552
301	50412	116515
302	50588	116369
303	50731	116149
304	50893	115971
305	51031	115738
306	51214	115609
307	51355	115382
308	51533	115240
309	51686	115044
310	51869	114913
311	52027	114727
312	52183	114536
313	52397	114473
314	52571	114321
315	52750	114182
316	52900	113977
317	53083	113845
318	53242	113661
319	53393	113460
320	53534	113239
321	53722	113117
322	53863	112897
323	54022	112713
324	54161	112488
325	54322	112311
326	54516	112201
327	54682	112032
328	54869	111906
329	55051	111770
330	55192	111552
331	55364	111396
332	55547	111261
333	55717	111101
334	55875	110916
335	56032	110730
336	56223	110612
337	56386	110437
338	56560	110284
339	56697	110059
340	56869	109903
341	57044	109751
342	57215	109592
343	57386	109435
344	57549	109259
345	57719	109100
346	57871	108904
347	58052	108765
348	58193	108550
349	58351	108366
350	58526	108215
351	58708	108077
352	58879	107917
