iter	RMSE
0	708.8898417
1	705.8547785
2	702.8567319
3	699.8919303
4	697.0297913
5	694.2357648
6	691.5801651
7	689.0784101
8	686.5633506
9	684.1286428
10	681.7665596
11	679.4716483
12	677.262536
13	675.064845
14	672.9650598
15	670.8577718
16	668.8351775
17	666.8815022
18	665.0050713
19	663.1314428
20	661.3176102
21	659.6110418
22	657.9879697
23	656.4301105
24	654.874276
25	653.3779352
26	651.8950126
27	650.4439648
28	649.0058962
29	647.6249269
30	646.2241977
31	644.9449305
32	643.6655192
33	642.414574
34	641.2192754
35	640.0239151
36	638.8709559
37	637.7693436
38	636.7080455
39	635.6379955
40	634.6585224
41	633.6854134
42	632.7512602
43	631.8410968
44	630.923835
45	630.0733617
46	629.2351135
47	628.4435721
48	627.6260313
49	626.8209101
50	626.0524689
51	625.3308152
52	624.6396924
53	623.9050758
54	623.2301132
55	622.5876022
56	621.9623865
57	621.3124467
58	620.684925
59	620.1190544
60	619.5274474
61	618.9020036
62	618.3952268
63	617.8754837
64	617.3432374
65	616.8033484
66	616.3387659
67	615.8345063
68	615.3360876
69	614.8550171
70	614.4121768
71	613.9863352
72	613.5802767
73	613.1525388
74	612.7587987
75	612.3453489
76	611.9326498
77	611.5157261
78	611.1513483
79	610.7534596
80	610.4176281
81	610.0527176
82	609.7318935
83	609.3972038
84	609.0843556
85	608.7547723
86	608.3923841
87	608.0506826
88	607.7191564
89	607.3491203
90	607.0242158
91	606.7366694
92	606.4353161
93	606.1574641
94	605.8871599
95	605.6082795
96	605.3562416
97	605.1004061
98	604.8302739
99	604.5848358
100	604.3404362
101	604.1070252
102	603.9060896
103	603.6734218
104	603.4446397
105	603.1825891
106	602.9435332
107	602.7233472
108	602.5274326
109	602.3178523
110	602.1253949
111	601.9206875
112	601.7043073
113	601.4974108
114	601.2869747
115	601.0742646
116	600.8949033
117	600.7059653
118	600.5449022
119	600.36809
120	600.1662219
121	599.9822338
122	599.7911461
123	599.6135277
124	599.4337429
125	599.2572954
126	599.0691491
127	598.8953069
128	598.7141509
129	598.5373765
130	598.3428868
131	598.1819418
132	598.0267024
133	597.872081
134	597.7157759
135	597.5601795
136	597.4168657
137	597.2914249
138	597.1657763
139	596.9955724
140	596.838532
141	596.6845524
142	596.5201151
143	596.3631889
144	596.2125296
145	596.0946401
146	595.9828897
147	595.8613468
148	595.6934467
149	595.5760954
150	595.4739603
151	595.3594134
152	595.2482275
153	595.1366093
154	595.0275362
155	594.9443129
156	594.8372207
