iter	Passed	Remaining
0	60	60653
1	111	55570
2	166	55219
3	213	53235
4	261	52030
5	305	50661
6	359	50999
7	414	51339
8	465	51262
9	518	51318
10	570	51271
11	617	50865
12	666	50630
13	715	50371
14	758	49795
15	803	49410
16	844	48846
17	892	48711
18	947	48935
19	998	48948
20	1045	48748
21	1099	48864
22	1153	48989
23	1198	48757
24	1248	48685
25	1298	48625
26	1341	48358
27	1390	48266
28	1430	47905
29	1474	47672
30	1517	47432
31	1563	47306
32	1609	47176
33	1652	46957
34	1699	46854
35	1739	46576
36	1787	46510
37	1835	46455
38	1874	46190
39	1918	46038
40	1956	45771
41	2009	45842
42	2056	45774
43	2100	45636
44	2142	45466
45	2190	45433
46	2239	45412
47	2247	44584
48	2287	44399
49	2334	44359
50	2375	44206
51	2420	44124
52	2468	44100
53	2518	44112
54	2558	43954
55	2609	43982
56	2657	43966
57	2708	43993
58	2757	43976
59	2810	44033
60	2861	44043
61	2911	44048
62	2959	44017
63	3013	44065
64	3058	43997
65	3104	43926
66	3149	43856
67	3200	43870
68	3253	43896
69	3306	43935
70	3360	43976
71	3412	43986
72	3457	43900
73	3507	43887
74	3556	43864
75	3606	43848
76	3655	43821
77	3703	43773
78	3750	43729
79	3805	43768
80	3849	43677
81	3895	43606
82	3942	43561
83	3997	43587
84	4045	43550
85	4088	43451
86	4137	43420
87	4180	43328
88	4225	43247
89	4276	43244
90	4327	43223
91	4369	43129
92	4417	43084
93	4470	43085
94	4516	43021
95	4561	42957
96	4615	42965
97	4660	42891
98	4707	42839
99	4753	42784
100	4800	42730
101	4845	42657
102	4893	42617
103	4944	42598
104	4993	42561
105	5040	42515
106	5086	42450
107	5132	42392
108	5184	42378
109	5232	42336
110	5274	42247
111	5323	42210
112	5359	42070
113	5409	42044
114	5451	41950
115	5498	41903
116	5549	41885
117	5596	41829
118	5651	41837
119	5695	41770
120	5745	41740
121	5796	41713
122	5847	41695
123	5905	41720
124	5964	41751
125	6016	41731
126	6061	41666
127	6114	41652
128	6166	41632
129	6218	41616
130	6272	41606
131	6316	41534
132	6363	41483
133	6407	41411
134	6454	41357
135	6496	41274
136	6546	41235
137	6594	41190
138	6638	41118
139	6682	41052
140	6738	41052
141	6782	40978
142	6823	40894
143	6877	40885
144	6927	40845
145	6979	40826
146	7026	40775
147	7074	40724
148	7120	40669
149	7148	40508
150	7196	40460
151	7247	40430
152	7292	40372
153	7344	40345
154	7391	40298
155	7436	40234
156	7481	40171
157	7531	40136
158	7576	40072
159	7625	40034
160	7674	39994
161	7725	39962
162	7774	39921
163	7822	39875
164	7872	39837
165	7916	39771
166	7969	39752
167	8014	39692
168	8071	39688
169	8123	39663
170	8169	39603
171	8219	39566
172	8264	39506
173	8321	39501
174	8371	39466
175	8423	39438
176	8480	39431
177	8529	39391
178	8579	39350
179	8632	39326
180	8671	39239
